target_id,comparator_id,outcome_id,analysis_id,target_min_days,target_p10_days,target_p25_days,target_median_days,target_p75_days,target_p90_days,target_max_days,comparator_min_days,comparator_p10_days,comparator_p25_days,comparator_median_days,comparator_p75_days,comparator_p90_days,comparator_max_days,database_id
3606,3610,2580,1,2,172.70000000000002,365,365,365,365,365,1,97.60000000000002,365,365,365,365,365,CDMPv535_ABMI
3606,3610,3262,1,2,290.5,365,365,365,365,365,1,194.10000000000002,365,365,365,365,365,CDMPv535_ABMI
3606,3610,3263,1,1,42.40000000000002,249.25,365,365,365,365,1,56.70000000000001,346.75,365,365,365,365,CDMPv535_ABMI
3606,3610,3951,1,1,63,265.75,365,365,365,365,1,33.300000000000004,303.25,365,365,365,365,CDMPv535_ABMI
3606,3610,3994,1,1,10.300000000000004,43.5,158.5,365,365,365,1,19.300000000000004,79,276.5,365,365,365,CDMPv535_ABMI
3606,3610,3996,1,1,25.1,62,223.5,365,365,365,1,36.80000000000001,128.25,342.5,365,365,365,CDMPv535_ABMI
3606,3610,3997,1,1,14,47.75,190.5,365,365,365,1,35.1,89.75,262.5,365,365,365,CDMPv535_ABMI
3606,3610,2580,2,2,172.70000000000002,468.75,730,730,730,730,1,97.60000000000002,478,730,730,730,730,CDMPv535_ABMI
3606,3610,3262,2,2,290.5,537.25,730,730,730,730,1,194.10000000000002,584.25,730,730,730,730,CDMPv535_ABMI
3606,3610,3263,2,1,42.40000000000002,249.25,587.5,730,730,730,1,56.70000000000001,346.75,730,730,730,730,CDMPv535_ABMI
3606,3610,3951,2,1,63,265.75,623,730,730,730,1,33.300000000000004,303.25,730,730,730,730,CDMPv535_ABMI
3606,3610,3994,2,1,10.300000000000004,43.5,158.5,429,522.6000000000003,730,1,19.300000000000004,79,276.5,730,730,730,CDMPv535_ABMI
3606,3610,3996,2,1,25.1,62,223.5,589.5499999999998,719.6,730,1,36.80000000000001,128.25,342.5,730,730,730,CDMPv535_ABMI
3606,3610,3997,2,1,14,47.75,190.5,498.39999999999975,700.0000000000005,730,1,35.1,89.75,262.5,730,730,730,CDMPv535_ABMI
3606,3610,2580,3,2,172.70000000000002,468.75,824,1095,1095,1095,1,97.60000000000002,478,1095,1095,1095,1095,CDMPv535_ABMI
3606,3610,3262,3,2,290.5,537.25,879.5,1095,1095,1095,1,194.10000000000002,584.25,1095,1095,1095,1095,CDMPv535_ABMI
3606,3610,3263,3,1,42.40000000000002,249.25,587.5,1095,1095,1095,1,56.70000000000001,346.75,1084.5,1095,1095,1095,CDMPv535_ABMI
3606,3610,3951,3,1,63,265.75,623,1095,1095,1095,1,33.300000000000004,303.25,1095,1095,1095,1095,CDMPv535_ABMI
3606,3610,3994,3,1,10.300000000000004,43.5,158.5,429,522.6000000000003,1095,1,19.300000000000004,79,276.5,1095,1095,1095,CDMPv535_ABMI
3606,3610,3996,3,1,25.1,62,223.5,589.5499999999998,719.6,1095,1,36.80000000000001,128.25,342.5,1095,1095,1095,CDMPv535_ABMI
3606,3610,3997,3,1,14,47.75,190.5,498.39999999999975,700.0000000000005,1095,1,35.1,89.75,262.5,1076.1499999999996,1095,1095,CDMPv535_ABMI
3606,3610,2580,4,2,171.9,180,180,180,180,180,1,97.60000000000002,180,180,180,180,180,CDMPv535_ABMI
3606,3610,3262,4,2,180,180,180,180,180,180,1,180,180,180,180,180,180,CDMPv535_ABMI
3606,3610,3263,4,1,42.40000000000002,180,180,180,180,180,1,56.70000000000001,180,180,180,180,180,CDMPv535_ABMI
3606,3610,3951,4,1,63,180,180,180,180,180,1,33.300000000000004,180,180,180,180,180,CDMPv535_ABMI
3606,3610,3994,4,1,10.300000000000004,43.5,158.5,180,180,180,1,19.300000000000004,79,180,180,180,180,CDMPv535_ABMI
3606,3610,3996,4,1,25.1,62,180,180,180,180,1,36.80000000000001,128.25,180,180,180,180,CDMPv535_ABMI
3606,3610,3997,4,1,14,47.75,180,180,180,180,1,35.1,89.75,180,180,180,180,CDMPv535_ABMI
3606,3610,2580,5,2,90,90,90,90,90,90,1,90,90,90,90,90,90,CDMPv535_ABMI
3606,3610,3262,5,2,90,90,90,90,90,90,1,90,90,90,90,90,90,CDMPv535_ABMI
3606,3610,3263,5,1,42.40000000000002,90,90,90,90,90,1,56.70000000000001,90,90,90,90,90,CDMPv535_ABMI
3606,3610,3951,5,1,63,90,90,90,90,90,1,33.300000000000004,90,90,90,90,90,CDMPv535_ABMI
3606,3610,3994,5,1,10.300000000000004,43.5,90,90,90,90,1,19.300000000000004,79,90,90,90,90,CDMPv535_ABMI
3606,3610,3996,5,1,25.1,62,90,90,90,90,1,36.80000000000001,90,90,90,90,90,CDMPv535_ABMI
3606,3610,3997,5,1,14,47.75,90,90,90,90,1,35.1,89,90,90,90,90,CDMPv535_ABMI
3606,3610,2580,6,2,28,62.5,125,326.59999999999997,418.4000000000002,918,1,3,9.5,28,56,56.400000000000006,635,CDMPv535_ABMI
3606,3610,3262,6,2,33.800000000000004,63,125,333.0999999999999,483.40000000000066,1754,1,2,7,28,56,57.400000000000006,635,CDMPv535_ABMI
3606,3610,3263,6,1,28,56,112,321.49999999999994,385.6000000000002,918,1,2,7,28,56,56.400000000000006,133,CDMPv535_ABMI
3606,3610,3951,6,1,28,56,119,326.59999999999997,418.4000000000002,1754,1,2,6.5,28,56,57,133,CDMPv535_ABMI
3606,3610,3994,6,1,9.600000000000001,31.5,63,176.8999999999999,214.00000000000006,483,1,2,6,26,55.099999999999994,56,133,CDMPv535_ABMI
3606,3610,3996,6,1,27.200000000000003,40.5,84,207.29999999999998,235.00000000000003,483,1,2,7.5,28,56,56.80000000000001,545,CDMPv535_ABMI
3606,3610,3997,6,1,14,31.5,63,202.29999999999998,227.60000000000005,483,1,2,7,26,43,56,279,CDMPv535_ABMI
3606,3610,2580,7,2,172.70000000000002,468.75,824,1702.3999999999999,1888.5,4818,1,97.60000000000002,478,1452.5,4184.75,5132.700000000001,7595,CDMPv535_ABMI
3606,3610,3262,7,2,290.5,537.25,879.5,1851.35,2043.8000000000002,5077,1,194.10000000000002,584.25,1499.5,5126.2,6417.500000000002,7595,CDMPv535_ABMI
3606,3610,3263,7,1,42.40000000000002,249.25,587.5,1417,1587.1000000000001,4818,1,56.70000000000001,346.75,1092,3307.8499999999976,4447.4000000000015,7416,CDMPv535_ABMI
3606,3610,3951,7,1,63,265.75,623,1340.1499999999999,1586.9,5077,1,33.300000000000004,303.25,1130.5,2834.9999999999995,3604,7416,CDMPv535_ABMI
3606,3610,3994,7,1,10.300000000000004,43.5,158.5,429,522.6000000000003,2388,1,19.300000000000004,79,276.5,1281.35,1630.4000000000005,6741,CDMPv535_ABMI
3606,3610,3996,7,1,25.1,62,223.5,589.5499999999998,719.6,2388,1,36.80000000000001,128.25,342.5,1986.1999999999994,2446.2000000000003,7143,CDMPv535_ABMI
3606,3610,3997,7,1,14,47.75,190.5,498.39999999999975,700.0000000000005,2388,1,35.1,89.75,262.5,1089.0999999999995,1908.5000000000023,6741,CDMPv535_ABMI
3606,3610,2580,8,2,28,62.5,125,326.59999999999997,418.4000000000002,918,1,3,12,28,54,56,635,CDMPv535_ABMI
3606,3610,3262,8,2,33.800000000000004,63,125,333.0999999999999,483.40000000000066,1754,1,2,8,28,56,56,635,CDMPv535_ABMI
3606,3610,3263,8,1,28,56,112,321.49999999999994,385.6000000000002,918,1,2,7,28,54,56,343,CDMPv535_ABMI
3606,3610,3951,8,1,28,56,119,326.59999999999997,418.4000000000002,1754,1,2,7,28,54,56,343,CDMPv535_ABMI
3606,3610,3994,8,1,9.600000000000001,31.5,63,176.8999999999999,214.00000000000006,483,1,2,6,26,49,56,343,CDMPv535_ABMI
3606,3610,3996,8,1,27.200000000000003,40.5,84,207.29999999999998,235.00000000000003,483,1,3,11,28,52,56,545,CDMPv535_ABMI
3606,3610,3997,8,1,14,31.5,63,202.29999999999998,227.60000000000005,483,1,2,7,26,43,56,279,CDMPv535_ABMI
3606,3610,2580,9,2,28,62.5,125,326.59999999999997,418.4000000000002,918,1,3,12,28,56,58,635,CDMPv535_ABMI
3606,3610,3262,9,2,33.800000000000004,63,125,333.0999999999999,483.40000000000066,1754,1,2,10,28,56,68,635,CDMPv535_ABMI
3606,3610,3263,9,1,28,56,112,321.49999999999994,385.6000000000002,918,1,2,8.25,28,56,58,343,CDMPv535_ABMI
3606,3610,3951,9,1,28,56,119,326.59999999999997,418.4000000000002,1754,1,2,8,28,56,59.5,343,CDMPv535_ABMI
3606,3610,3994,9,1,9.600000000000001,31.5,63,176.8999999999999,214.00000000000006,483,1,2,7,28,56,56,343,CDMPv535_ABMI
3606,3610,3996,9,1,27.200000000000003,40.5,84,207.29999999999998,235.00000000000003,483,1,3,11,28,56,58,545,CDMPv535_ABMI
3606,3610,3997,9,1,14,31.5,63,202.29999999999998,227.60000000000005,483,1,2,8,28,51.25,56,279,CDMPv535_ABMI
3606,3610,2580,10,2,30,63,121,307,372,918,1,3,8,27,56,64,635,CDMPv535_ABMI
3606,3610,3262,10,2,42,63,125,321,406,1754,1,2,7,27,56,67,635,CDMPv535_ABMI
3606,3610,3263,10,1,28,56,100,305,364,918,1,2,6,25,56,63,343,CDMPv535_ABMI
3606,3610,3951,10,1,28,57,112,305,372,1754,1,2,6,25,56,63,343,CDMPv535_ABMI
3606,3610,3994,10,1,10,32,63,168,210,483,1,2,5,21,54,57,343,CDMPv535_ABMI
3606,3610,3996,10,1,25,39,84,205,233,483,1,2,7,26,56,61,545,CDMPv535_ABMI
3606,3610,3997,10,1,14,32,70,199,224,483,1,2,6,22,52,56,505,CDMPv535_ABMI
